"city_depart","city_arrival","count","city_arrival_present","city_depart_present"
11007,11021,16,NA,NA
11007,11022,4,NA,NA
11007,11023,11,NA,NA
11007,11024,70,NA,NA
11007,11025,4,NA,NA
11007,11029,121,NA,NA
11007,11035,47,NA,NA
11007,11037,4,NA,NA
11007,11038,1,NA,NA
11007,11039,20,NA,NA
11007,11040,48,NA,NA
11007,11044,3,NA,NA
11007,11050,86,NA,NA
11007,11052,170,NA,NA
11007,11053,1,NA,NA
11007,11054,8,NA,NA
11007,11055,4,NA,NA
11007,11056,19,NA,NA
11007,11057,12,NA,NA
11007,12002,4,NA,NA
11007,12007,7,NA,NA
11007,12009,8,NA,NA
11007,12014,5,NA,NA
11007,12021,50,NA,NA
11007,12025,42,NA,NA
11007,12026,5,NA,NA
11007,12029,1,NA,NA
11007,12030,7,NA,NA
11007,12035,2,NA,NA
11007,12040,8,NA,NA
11007,13004,2,NA,NA
11007,13008,6,NA,NA
11007,13010,4,NA,NA
11007,13011,19,NA,NA
11007,13012,1,NA,NA
11007,13017,3,NA,NA
11007,13019,2,NA,NA
11007,13025,3,NA,NA
11007,13029,3,NA,NA
11007,13031,1,NA,NA
11007,13035,2,NA,NA
11007,13037,2,NA,NA
11007,13040,10,NA,NA
11007,13046,2,NA,NA
11007,21001,5,NA,NA
11007,21004,57,NA,NA
11007,21005,1,NA,NA
11007,21006,9,NA,NA
11007,21007,4,NA,NA
11007,21009,8,NA,NA
11007,21010,1,NA,NA
11007,21012,7,NA,NA
11007,21013,3,NA,NA
11007,21014,6,NA,NA
11007,21015,4,NA,NA
11007,21016,1,NA,NA
11007,21018,5,NA,NA
11007,21019,2,NA,NA
11007,23002,2,NA,NA
11007,23003,1,NA,NA
11007,23016,2,NA,NA
11007,23025,3,NA,NA
11007,23038,1,NA,NA
11007,23039,2,NA,NA
11007,23045,3,NA,NA
11007,23047,18,NA,NA
11007,23052,1,NA,NA
11007,23081,2,NA,NA
11007,23088,11,NA,NA
11007,23094,19,NA,NA
11007,24033,1,NA,NA
11007,24038,1,NA,NA
11007,24048,1,NA,NA
11007,24062,4,NA,NA
11007,24107,1,NA,NA
11007,25091,1,NA,NA
11007,25110,1,NA,NA
11007,25112,1,NA,NA
11007,31005,2,NA,NA
11007,34022,1,NA,NA
11007,34042,1,NA,NA
11007,36007,1,NA,NA
11007,41002,1,NA,NA
11007,41048,2,NA,NA
11007,42006,1,NA,NA
11007,42008,1,NA,NA
11007,42011,1,NA,NA
11007,43005,1,NA,NA
11007,44001,1,NA,NA
11007,44013,1,NA,NA
11007,44021,13,NA,NA
