"city_depart","city_arrival","count","city_arrival_present","city_depart_present"
62051,92094,38,NA,NA
62063,11002,28,NA,NA
62063,12014,1,NA,NA
62063,12025,7,NA,NA
62063,21001,85,NA,NA
62063,21004,1096,NA,NA
62063,21009,129,NA,NA
62063,21015,156,NA,NA
62063,21016,31,NA,NA
62063,24062,47,NA,NA
62063,31005,7,NA,NA
62063,34022,1,NA,NA
62063,35013,1,NA,NA
62063,41002,3,NA,NA
62063,44021,10,NA,NA
62063,46021,1,NA,NA
62063,52011,146,NA,NA
62063,53053,11,NA,NA
62063,55022,5,NA,NA
62063,57081,1,NA,NA
62063,62003,1058,NA,NA
62063,62051,2188,NA,NA
62063,62063,24766,NA,NA
62063,62096,1583,NA,NA
62063,63079,443,NA,NA
62063,71004,1,NA,NA
62063,71016,59,NA,NA
62063,71022,24,NA,NA
62063,81001,23,NA,NA
62063,83034,83,NA,NA
62063,92094,457,NA,NA
62063,92137,9,NA,NA
62096,11002,4,NA,NA
62096,12025,3,NA,NA
62096,21001,14,NA,NA
62096,21004,179,NA,NA
62096,21009,25,NA,NA
62096,21015,30,NA,NA
62096,21016,7,NA,NA
62096,24062,8,NA,NA
62096,31005,2,NA,NA
62096,44021,2,NA,NA
62096,52011,19,NA,NA
62096,53053,6,NA,NA
62096,55022,4,NA,NA
62096,57081,1,NA,NA
62096,62003,255,NA,NA
62096,62051,529,NA,NA
62096,62063,3461,NA,NA
62096,62096,5270,NA,NA
62096,63079,68,NA,NA
62096,71016,5,NA,NA
62096,71022,2,NA,NA
62096,81001,4,NA,NA
62096,83034,34,NA,NA
62096,92094,79,NA,NA
63079,11002,6,NA,NA
63079,13040,2,NA,NA
63079,21001,10,NA,NA
63079,21004,160,NA,NA
63079,21009,11,NA,NA
63079,21015,31,NA,NA
63079,21016,4,NA,NA
63079,24062,7,NA,NA
63079,31005,1,NA,NA
63079,44021,2,NA,NA
63079,52011,13,NA,NA
63079,53053,2,NA,NA
63079,55022,3,NA,NA
63079,57081,1,NA,NA
63079,62003,66,NA,NA
63079,62051,187,NA,NA
63079,62063,1042,NA,NA
63079,62096,64,NA,NA
63079,63079,6494,NA,NA
63079,71016,3,NA,NA
